Hour,Current [A],Current Density [A/cm2],Voltage [V],Temperature [C],Anode Pressure [barg],Cathode Pressure [barg]
117,0,0,2.384416471,90,1,1
118,7,1,2.38441833,90,1,1
119,7,1,2.384420189,90,1,1
120,7,1,2.384422048,90,1,1
121,7,1,2.384423907,90,1,1
122,7,1,2.384425766,90,1,1
123,7,1,2.384427625,90,1,1
124,7,1,2.384429484,90,1,1
125,7,1,2.384431343,90,1,1
126,0,0,0,90,1,1
127,0,0,0,90,1,1
128,0,0,0,90,1,1
129,0,0,0,90,1,1
130,0,0,0,90,1,1
131,0,0,0,90,1,1
132,0,0,0,90,1,1
133,0,0,0,90,1,1
134,0,0,0,90,1,1
135,0,0,0,90,1,1
136,0,0,0,90,1,1
137,0,0,0,90,1,1
138,0,0,0,90,1,1
139,7,1,2.384433202,90,1,1
140,7,1,2.384435061,90,1,1
141,7,1,2.38443692,90,1,1
142,7,1,2.384438779,90,1,1
143,7,1,2.384440638,90,1,1
144,7,1,2.384442497,90,1,1
145,7,1,2.384444356,90,1,1
146,7,1,2.384446216,90,1,1
147,0,0,0,90,1,1
148,0,0,0,90,1,1
149,0,0,0,90,1,1
150,0,0,0,90,1,1
151,0,0,0,90,1,1
152,0,0,0,90,1,1
153,0,0,0,90,1,1
154,0,0,0,90,1,1
155,0,0,0,90,1,1
156,0,0,0,90,1,1
157,0,0,0,90,1,1
158,0,0,0,90,1,1
159,0,0,0,90,1,1
160,7,1,2.384448075,90,1,1
161,7,1,2.384449971,90,1,1
162,7,1,2.384451867,90,1,1
163,7,1,2.384453763,90,1,1
164,7,1,2.384455659,90,1,1
165,7,1,2.384457556,90,1,1
166,7,1,2.384459452,90,1,1
167,7,1,2.384461348,90,1,1
168,0,0,0,90,1,1
169,0,0,0,90,1,1
170,0,0,0,90,1,1
171,0,0,0,90,1,1
172,0,0,0,90,1,1
173,0,0,0,90,1,1
174,0,0,0,90,1,1
175,0,0,0,90,1,1
176,0,0,0,90,1,1
177,0,0,0,90,1,1
178,0,0,0,90,1,1
179,0,0,0,90,1,1
180,0,0,0,90,1,1
181,7,1,2.384463244,90,1,1
182,7,1,2.384465141,90,1,1
183,7,1,2.384467037,90,1,1
184,7,1,2.384468843,90,1,1
185,7,1,2.384470649,90,1,1
186,7,1,2.384472454,90,1,1
187,7,1,2.38447426,90,1,1
188,7,1,2.384476066,90,1,1
189,0,0,0,90,1,1
190,0,0,0,90,1,1
191,0,0,0,90,1,1
192,0,0,0,90,1,1
193,0,0,0,90,1,1
194,0,0,0,90,1,1
195,0,0,0,90,1,1
196,0,0,0,90,1,1
197,0,0,0,90,1,1
198,0,0,0,90,1,1
199,0,0,0,90,1,1
200,0,0,0,90,1,1
201,0,0,0,90,1,1
202,7,1,2.384477872,90,1,1
203,7,1,2.384479678,90,1,1
204,7,1,2.384481484,90,1,1
205,7,1,2.38448329,90,1,1
206,7,1,2.384485096,90,1,1
207,7,1,2.384486902,90,1,1
208,7,1,2.384488708,90,1,1
209,7,1,2.384490514,90,1,1
210,0,0,0,90,1,1
211,0,0,0,90,1,1
212,0,0,0,90,1,1
213,0,0,0,90,1,1
